'text','place_name','place_full_name','place_country','screen_name'
'Winning http://t.co/LL69p0L ','West Bexar','West Bexar, TX','United States','ARMYSCRUB'
'Second in the #workshop24 Q&A series by @madelabs: find out what keeps #tuttle founder @lloyddavis awake at night http://tinyurl.com/4y9rpk4 ','Worthing','Worthing, West Sussex','United Kingdom','artistsmakers'
'For once, Im actually following more people than I have following me on here. For once, Im actually using my twitter! ','Fort Worth','Fort Worth, TX','United States','ashley_1187'
'LISTEN HERE BITCH ','Dallas','Dallas, TX','United States','AubreeBlake'
'@cncsparkie x ','North Somerset','North Somerset, North Somerset','United Kingdom','Automatic_Doors'
'Masih bergelut dengan pekerjaan -__- (@ TBWA Indonesia) http://4sq.com/mw2zIv ','Pancoran','Pancoran, Jakarta Selatan','Indonesia','AyatSupriatna'
'i want to qet another tattoo today !! anybody know somewhr ? @ArielleDaniels ','Winder','Winder, GA','United States','AyooSunni'
'Wow @Kevinwoo91, your fans are awesome! :) ','Pleasant Hill','Pleasant Hill, CA','United States','A_for_Annie'
'@TheRib35 you are incredibly intelligent, and your argument is flawless. ','Chicago','Chicago, IL','United States','baratunde'
'Vanavond borrel van het werk op de grote markt in den haag #boterwaag ','Dordrecht','Dordrecht, South Holland','The Netherlands','Barrrryyyyy'
'#Italy good value for their halftime lead. #6nations #rugby ','Kehrsatz','Kehrsatz, Bern-Mittelland','Switzerland','barto_11'
'Para ns agora  tempo de recomear o Bayern empatou ontem em 1 a 1 contra o Nuremberg e Van Gaal foi demitido ','Avarxe9','Avarxe9, Sxe3o Paulo','Brasil','Bayern_Br'
'(does my dance) ','Forrest City','Forrest City, AR','United States','BeamerLicious'
'comi demais agora *-* ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','beccabarvinski'
'Lunch.... (@ Sakura Restaurant) http://4sq.com/h3HTMo ','Cilandak','Cilandak, Jakarta Selatan','Indonesia','behnoor'
'@RyanSeacrest whats with that girl crying and wanting to marry you tonight on AI...that was cute.. ','Pensacola','Pensacola, FL','United States','bella_1972'
'SFO  JFKHeaded to NY to give a talk at SUNY New Paltz. Looking forward to being on the east coast for a few days. ','San Francisco International Airport','San Francisco International Airport, South San Fra','United States','benbarry'
'I think these ADHD meds are starting to work because lately I  Oh! A butterfly  ','Los Angeles','Los Angeles, CA','United States','benpatrick90069'
'I just became the mayor of Communities In Schools on @foursquare! http://4sq.com/hDjOUr ','Jacksonville','Jacksonville, FL','United States','Bethany_Maddox'
'Get the Girls: Afghan Womens Uncertain Future http://shar.es/Xgnsj ','Evergreen Park','Evergreen Park, Palo Alto','United States','bethduffbrown'
'Pete dong lol ','Breckland','Breckland, Norfolk','United Kingdom','bex305'
'Im at Gado-Gado Ibu Ria (Jln. Cempaka 4 Sektor 1-4, BSD) http://4sq.com/iYxUlt ','Serpong','Serpong, Tangerang','Indonesia','billysebast'
'@purebeautyjenae I MISS MARCUS.....:-(....AND I KNOW YOU DO TOO ','Five Points South','Five Points South, Birmingham','United States','bLaCkk_b3aUTyy'
'Not able to come and see Inverting the pyramid?.. Online gallery here: http://tinyurl.com/395tf5z ','Cape Town','Cape Town, Western Cape','South Africa','blankprojects'
'Sou desses que fica triste e no conta pra ningum, e depois ainda fico chateado porque ningum percebeu. ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','BlPOLARlDADES'
'Drunk ass hell with my Bruh Quincy and all my home girls!! ','Rochester','Rochester, MN','United States','BMo_11'
'My Canada on Bobs Blog at www.robertgordon.ca gives reasons for voter lethargy  during the 2011Canadian election campaign Comments? ','Greater Sudbury','Greater Sudbury, Ontario','Canada','Bobg0711'
'Happy 6th month to me & my boyfriend @AustinApAthy i love yu so much, words cannot even begin to describe my love for yu. Together 4ever. &lt;3 ','Anaheim','Anaheim, CA','United States','boomboombri'
'@MrsSyeda Best of luck! ','City of London','City of London, London','United Kingdom','BPPLawSchool'
'Welp. I was supposed to go down Mission to get tacos tomorrow for Cinco De Mayo. ','Original Daly City','Original Daly City, Daly City','United States','Br0gurt'
'Off pro twitter now ','Curitiba','Curitiba, Paranxe1','Brasil','Bradd_Venegas'
'Tour LYFE (@ Mobil Mart) http://4sq.com/i4VKAV ','Raymond','Raymond, WI','United States','bradyszuhaj'
'@brutorettinho Tbm axo xD  a @pittyleone   mt #phodastica ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','Braianboy'
'#ifitwasuptome then on cloudy days it would rain chocolate from the sky. Oh and surprise sweets from time to time. ','Los Angeles','Los Angeles, CA','United States','Brenda_xD'
'Im at Killarney Rose Bar & Restaurant w/ @brunojbruno http://4sq.com/ieifOE ','Pinkberry','Pinkberry, New York','United States','BryceGruber'
'Weekend Kickoff (@ Sir Winston) http://4sq.com/hh4ygx ','Paris','Paris, Paris','France','btincq'
'SEASIDE ROMANCE AT ALILA MANGGIS START FROM Rp. 4. 600.000/ Couple ','Perumahan Permata Timur','Perumahan Permata Timur, Makasar','Indonesia','BulanmaduDotCom'
'En BAM! Terug in het Koninkrijk der Nederlanden. (@ Amsterdam Airport Schiphol (AMS) w/ 14 others) http://4sq.com/fZ5t7I ','Groningen','Groningen, Groningen','The Netherlands','buxx'
'Im at Ice Den (9375 E. Bell Road, Scottsdale) http://4sq.com/gbkT7k ','Four Peaks Brewing Company','Four Peaks Brewing Company, Tempe','United States','bvelaski'
'@vdumay um remdio ','Resende','Resende, Rio de Janeiro','Brasil','calderaro_'
'@_Temuri @TheRealDaisha @joel_insight @NateDsings :( only just got out of the bath, still have wet hair! All I can say us oh bollocks!! ','Southwark','Southwark, London','United Kingdom','Candice_C_'
'I just became the mayor of Kantin IMT dakol on @foursquare! http://4sq.com/kukHvM ','Padalarang 1','Padalarang 1, Bandung','Indonesia','candijohn'
'Finally, nite all (@ Candras room) http://4sq.com/kb1HUD ','Padalarang 1','Padalarang 1, Bandung','Indonesia','candrawarsita'
'Breakfast meeting with Insight Partners @ Waynes Coffe http://gowal.la/c/3Zbbo ','Stockholm','Stockholm, Stockholm','Sweden','carlmanneh'
'@PBS_TPryorFan @antoniacarter THANKS ','East Point','East Point, GA','United States','caseyjohnson2'
'One more day till the return to @castle. Coming back Engaged ','Greater Wilshire / Hancock Park','Greater Wilshire / Hancock Park, Los Angeles','United States','Castlegrip'
'Learning about scooters. Also picking up some Italian. (@ Rockridge Two Wheels) http://4sq.com/gxM6u3 ','Flavors Of India','Flavors Of India, Berkeley','United States','cathicks'
'im yours ','Jakarta Capital Region','Jakarta Capital Region, Indonesia','Indonesia','Cecezz'
'After a week off, back to normality tomorrow, was good while it lasted! ','Upton','Upton, Wakefield','United Kingdom','Cfearnn'
'Im at Bank of america (16990, Bear valley and hesperia rd, Victorville) http://4sq.com/khU543 ','Hesperia','Hesperia, CA','United States','ChevyCowboyUSA'
'samikum ','West Java','West Java, Indonesia','Indonesia','chiruhul'
'@SeanKingston please follow me!xxx ','England','England, United Kingdom','United Kingdom','Chloeannbieber'
'@NathansFlyArmy LOL ','Eastleigh','Eastleigh, Hampshire','United Kingdom','ChloeeTWTT_GMD3'
'@24HoursLoot The font on todays shirt should have been that nasty Chicago font of the 90s Apple used to sport on the Mac Classics ;-) ','Copenhagen','Copenhagen, Capital Region','Denmark','ChrJohannesen'
'Lunch with aldo  (@ GoelaMerah FoodMarket) http://4sq.com/m7VtSe ','Stasiun Gambir','Stasiun Gambir, Gambir','Indonesia','chyntiadwi'
'@uiuri @emmille90  rsrsrsrs ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','Cibelediz'
'Almost done bottling 10 pallets (10x72) of Jai Alai. ','Carver City/Lincoln Gardens','Carver City/Lincoln Gardens, Tampa','United States','CigarCityBeer'
'boa noite pra geral :** ','Sxe3o Josxe9 dos Campos','Sxe3o Josxe9 dos Campos, Sxe3o Paulo','Brasil','cine_mayara'
'@shita_prasetya boleh aja kk ','Tanah Abang','Tanah Abang, Jakarta Pusat','Indonesia','cinta_kuyaa'
'@ricpf @marcelohawkins @alesie @BenLudmer @Braungustavo @Teo rolar o que? ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','claraaverbuck'
'RT @GD_Flux Im only 7 away from 300 followers someone help me out :( ','Renton','Renton, WA','United States','CoDBlackOpsNews'
'hohow , jadi maluu dew , ah , lewat laptop nih , susah jadinyaa RT @yanecss @COkt ','Jakarta Capital Region','Jakarta Capital Region, Indonesia','Indonesia','COktajeny'
'@Notoriousscouse i can find summit wrong with the pic .... ','Halton','Halton, Halton','United Kingdom','connor_parry_10'
'Meetings meetings meetings (@ Bridgehead) http://4sq.com/fMT5g7 ','Ottawa','Ottawa, Ontario','Canada','CPRenos'
'So ur novelty is wearing off... Prepare for dismissal ','Druid Hills','Druid Hills, GA','United States','craziiShari'
'RT @DisneyCruise: 15 days until it sets sail on our first-ever voyage to Alaska in #DisneyWonder. Intereste (cont) http://deck.ly/~BZ2q4 ','Toronto','Toronto, Ontario','Canada','cruisedeluxe'
'wow we like your day!!!  Doing well and TRYING to relax RT @Momslifesavers: @CupcakeCutieKit Im doing well (cont) http://deck.ly/~dX4ye ','Manhattan','Manhattan, NY','United States','CupcakeCutieKit'
'@TwittKONYOL,kayaknya gw harus unfollow lu karena gw capek ngakak! Setan! Buktiin aja deh sm lu semua kl ga percaya! (gini ya gan.:D) ','Setia Budi','Setia Budi, Jakarta Selatan','Indonesia','curhat_setan'
'@wizzykiddy in school or at home ','Philadelphia','Philadelphia, PA','United States','cutiehique'
'If I never tried to make contact with you would I ever hear from you again? ','Princeton Meadows','Princeton Meadows, NJ','United States','CutTheRightWire'
'View from 75th floor Columbia Tower FIABCI - USA Sunset Event http://plixi.com/p/47067795 ','Yamanaka Enterprises','Yamanaka Enterprises, Hilo','United States','cyamanak'
'=.= (@ Waroeng PONDOK BAHARI) http://4sq.com/h261Qt ','Central Borneo','Central Borneo, Indonesia','Indonesia','cypher88'
'@MilesSTEREOS fly to la and marry me duh ','Los Angeles','Los Angeles, CA','United States','DanielLucasOX'
'@Fernnandoh nusss no O&gt;O serio eu no te dei unfollow... twitter ta meio lokinho hoje... ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','danilek'
'i long bone ha likk mmm mmm mmm ','Baton Rouge','Baton Rouge, LA','United States','Dani_didit'
'(: ','Destrehan','Destrehan, LA','United States','Darkk_nLovely'
'http://falahdarul.wordpress.com/2011/04/08/bila-merasa-kurang-kenapa-tidak-menanggulanginya/ ','Kota Bandung','Kota Bandung, West Java','Indonesia','darulfalaah'
'Markus Schulz - Do You Dream (Ferry Corsten Remix) http://dashberlinworld.com/profiles/blogs/markus-schulz-do-you-dream-1 ','West Miami','West Miami, West Miami','United States','dashberlinworld'
'Quake Alters Earths Balance and Widens Japan - NYT http://nyti.ms/h0Zavq ','Manhattan','Manhattan, NY','United States','DaveCullen'
'First you lay, then sit, then crawl, then walk, then run... Right now Im sitting too much! ','Mayfair','Mayfair, London','United Kingdom','davidbrear'
'When under attack, the human body can produce an amazing amount of snot. ','SoMa','SoMa, San Francisco','United States','dcurtis'
'nonton smack down ah ','Jakarta Capital Region','Jakarta Capital Region, Indonesia','Indonesia','deanmaha'
'dweendha, @muhammadariski, aienk_nyennyeng, jey_arslonga, muthy_amrullah, thx for aLerts... :) http://www.koprol.com/s/1QWPN ','Ujungpandang','Ujungpandang, Kota Makasar','Indonesia','Dedhe_Shiva'
'Im at Tintern Abbey (Chepstow) http://4sq.com/e3Av9m ','Forest of Dean','Forest of Dean, Gloucestershire','United Kingdom','Deisenhofer'
'Im at XI IPA 2 SMAN 21 MAKASSAR (poros btp, bumi tamalanrea permai, makassar) http://4sq.com/mMeM2O ','Makassar','Makassar, Kota Makasar','Indonesia','delladellah'
'then days like this come along and let me know everything is gonna be alright ','Los Angeles','Los Angeles, CA','United States','dennishegstad'
'Nancy Jensen (@dennygirltwo) has shared a Tweet with you:  Obama pledges help 4 illegal immigrant grads http://t.co/I3rp1JV -CC ','Pewaukee','Pewaukee, WI','United States','dennygirltwo'
'Im at Kedai indra (griya) (Jalan raya jatinangor, Dpn griya, Jatinangor) http://4sq.com/kQ6MWF ','Cikeruh','Cikeruh, Sumedang','Indonesia','dessydescill'
'I have never built a website, so I am going to try it DIY Style. I think I will try WordPress.  We will see what happens.  Any Suggestions? ','Highlands Ranch','Highlands Ranch, CO','United States','dhad1976'
'kocakanjir wkwkwkwk ','Setia Budi','Setia Budi, Jakarta Selatan','Indonesia','dhananugrahr'
'Im at S2 (Jalan Sisingamangaraja 19C, alan Sisingamangaraja Semarang, , Semarang) http://4sq.com/eIOYoL ','Semarang Selatan','Semarang Selatan, Kota Semarang','Indonesia','diadiooo'
'Folback @adekhariandi http://myloc.me/ip4TY ','Padang Utara','Padang Utara, Kota Padang','Indonesia','dian_hudaya_arc'
'O passado me assombra, o presente me mata, mas o futuro me assusta. ','Santa Maria','Santa Maria, Rio Grande do Sul','Brasil','diariodegarotas'
'@Moon_Fcoficial quantos anos ??? eu sou meninooo .me adiciona ono msn aderaldo.msn@hotmail.com beeijos!! ','Joxe3o Pessoa','Joxe3o Pessoa, Paraxedba','Brasil','Didif_FCOficial'
'@CristionDior tru that ','Nanuet','Nanuet, NY','United States','Dipstickmag'
'Een lekkere zomerse Thai beef salad van Nong en May. (@ OCHA) http://4sq.com/gUsla0 ','Station-Zuid WTC','Station-Zuid WTC, Amsterdam','The Netherlands','dirktewinkel'
'#Bosnia tweets - is anyone finding them useful? please let me know.  Laku no prijatelji moji ','Bassetlaw','Bassetlaw, Nottinghamshire','United Kingdom','DiscoverBosnia'
'Im at Sentul Intl Convention Center (SICC) (Sentul City, Bogor, West Java) w/ 11 others http://4sq.com/gElliE ','Bandung Kidul','Bandung Kidul, Kota Bandung','Indonesia','ditakarai'
'Goodbye Miami! See you next week! (@ Miami International Airport (MIA) ) http://4sq.com/fqy5ZS ','Boca Raton','Boca Raton, FL','United States','DJEndoLive'
'I gotta get some gas b4 I get home ','Greenfield','Greenfield, WI','United States','DJHOTSAUCE'
'Ready to hit crabby mike up ','South Carolina','South Carolina, US','United States','DjJWattsLive'
'ngiyup sek rek... duereesss... tuelessss.... T_T (@ Pasar belimbing) http://4sq.com/hH49Ht ','Klojen','Klojen, Kota Malang','Indonesia','dmeela'
'@D_FUCKING_WADE preciate it bro ','Cedar Hill','Cedar Hill, TX','United States','dolodwills'
'Finally, an augmented reality app that makes sense to me: Translating foreign-language signs. http://bit.ly/gYe3lP ','Berkeley','Berkeley, CA','United States','douglemoine'
'Operation payback.  @nmpardakis:    http://t.co/yTG2LCa ','Greece','Greece','Greece','drandakis'
'Im happy with my musical selections. ','Pittsburgh','Pittsburgh, PA','United States','DrCoolDad'
'I THINK DOMS LOOK WEIRD AS SHYT WIT BIG ASS TITTIES ','Maryland','Maryland, US','United States','drippedingold'
'these niggas nasty lmao .. ','Detroit','Detroit, MI','United States','Dru_Boogie'
'About to take a tour of McClendons Farm outside if Phoenix.  http://t.co/JvYwftL ','Peoria','Peoria, AZ','United States','DrWeil'
'Bunnies playing leaping games. Happy Easter  @ Loose Park http://instagr.am/p/Dfuug/ ','Kaw','Kaw, MO','United States','ducttape'
'@PonchoStupid can yur sister get em? ','Perris Valley','Perris Valley, CA','United States','dwrekyo'
'these times every girl is looking to marry a prince. Kl. Im a Prince in my town, so whoever feels the wave.... ','Waltham Forest','Waltham Forest, London','United Kingdom','E15Swiss'
'@ZoKnowsGaming @Crysis @KGB711 Let me know what you think after you have a chance to run it through its paces ','Redwood City','Redwood City, CA','United States','EA'
'http://www.youtube.com/watch?v=I4Q6arumyog CASH CARTELS NEWEST VIDEO ','Surrey Heath','Surrey Heath, Surrey','United Kingdom','EazeOfficial'
'Progress on the #EdenDTC office at Sewborwens Farm http://flic.kr/p/9zzLpW ','Eden','Eden, Cumbria','United Kingdom','edendtc'
'Wow nice place! Wheres re Asians lol ','Sheffield','Sheffield, Sheffield','United Kingdom','EglalAli'
'Im at EHBO Diensten Nederland (Genieweg 41, Mijdrecht) http://4sq.com/hhoN5z ','De Ronde Venen','De Ronde Venen','The Netherlands','EHBOdiensten'
'the awkward moment when you look at the car beside you... and their picking their nose.. #seriously ? ','Toronto','Toronto, Ontario','Canada','eiir_lovesbiebs'
'@PickUpAPerPer neat *_* Ill google map it and see if its possible to sneak round the back and meet them. ;) ','North Devon','North Devon, Devon','United Kingdom','emsyki'
'Here. ','Toronto','Toronto, Ontario','Canada','EpicMealTime'
'Ortaklarmla gurur duyuyorum. ','Rome','Rome, Rome','Italy','ersanozer'
'1996 RT @alyaauw: ( @iqbalgazali ) #PICKONE 1997 sama 1996 yang lahir duluan yg mana? *yangNGEJAWAB UN nya lulus dan nemnya tinggi* ','Cicendo','Cicendo, Kota Bandung','Indonesia','ERTE_ERWE'
'Vanavond weer even naar de volleybal! @ De Skans ','Smallingerland','Smallingerland, Friesland','The Netherlands','Erwindo_'
'Im at IKEA (1475 The Queensway, btw Kipling & The East Mall, Etobicoke) w/ 4 others http://4sq.com/mkTjKE ','LCBO','LCBO, Toronto','Canada','esterk'
'Experience skale skale RT @auLveNan78: Cagar bulik pake taksi..:D Gak pa2 lah, sekali-sekali.. http://myloc.me/jGrcC ','Central Borneo','Central Borneo, Indonesia','Indonesia','Estherryn'
'@snarfed99 love the earrings and LOVE hockey! ive been watching the playoff series like crazy! so fun! -dave ','New York','New York, NY','United States','Etsy'
'#Eujafiquei com raiva quando eu sou maltratado pelas pessoas . ','Porto Alegre','Porto Alegre, Rio Grande do Sul','Brasil','Eujafiquei'
'...everything under Heaven is Mine (Job 41:11 NLT) ','California','California, US','United States','eunipuny'
'CORDEI, quero dorme de novo ','Campinas','Campinas, Sxe3o Paulo','Brasil','eunutil'
'#EuPorExemplo j procurei minha casa no Google Earth. ','Pirenxf3polis','Pirenxf3polis, Goixe1s','Brasil','EuPorExemplo'
'Quem reclama do trnsito de Beag  infeliz e no tem um CD do Olodum no carro! N @ReDoti? #transitoBH ','Belo Horizonte','Belo Horizonte, Minas Gerais','Brasil','euthiagobiz'
'If you go far enough as an artist, youll end up as an inventor. And if you go far enough as an inventor, youll end up as an artist. - ? ','San Francisco','San Francisco, CA','United States','ev'
'http://www.youtube.com/watch?v=OMGd3mAfl-0 ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','Faabriciosagaz'
'@HamiltonNog Dito por quem? Por mim? Se foi, perdoe-me. ','Fortaleza','Fortaleza, Cearxe1','Brasil','fabiocamposm'
'Im at Rumba Bar w/ @dessinhaandrade http://4sq.com/l6uqRz ','Ribeirxe3o Preto','Ribeirxe3o Preto, Sxe3o Paulo','Brasil','FabiolaMedeiros'
'Im at Home Sweet Home! (Twinleaf Lane, Santana Way, Corona) http://4sq.com/gA4UTq ','Corona','Corona, CA','United States','FamousLove69'
'Fancorps in LA for the next few days. Look out! ','Chicago','Chicago, IL','United States','fancorps'
'I just became the mayor of  HOTEL on @foursquare! http://4sq.com/fkC9HB ','Greece','Greece','Greece','fanellas'
'http://plixi.com/p/93774558 ','Monterey Park','Monterey Park, CA','United States','FarbodDanesh'
'@annegoossens92 verslaafd aan tassen, wat is je mooiste? (die van mij een Marc Jacobs) ','Station-Zuid WTC','Station-Zuid WTC, Amsterdam','The Netherlands','Fashiontweet'
'Chamadas Perdidas: (1) Amigos (2) Pai (58) Me #FatosDMae ','Castelo','Castelo, Espxedrito Santo','Brasil','FatosDMae'
'Cad a galera caveira do Es? ','Vitxf3ria','Vitxf3ria, Espxedrito Santo','Brasil','fcglorianoes'
'@CFLuanSantana @arnaldojr_ @mateusfabbri Sorteia Camila Marchi Padovan pro camarim de Jaguariuna - Sp (07/05)  MEU MAIOR SONHO ! 17 ','Santo Antxf4nio de Posse','Santo Antxf4nio de Posse, Sxe3o Paulo','Brasil','FcLS_Sobrenatur'
'@essaporratoda ME BEJA VOCE PREMERO GATA ','Sxe3o Carlos','Sxe3o Carlos, Sxe3o Paulo','Brasil','feelthehate'
'@mileneoficial Milene querida,voc recebeu minha DM hoje a tarde? ','Porto Alegre','Porto Alegre, Rio Grande do Sul','Brasil','felipeflemos'
'Leuke en goede contacten opgedaan #zakenbeursdrachten ','Littenseradiel','Littenseradiel, Fryslxe2n','The Netherlands','ferdinandaukes'
'Im at LBPP LIA SOLO (Solo, Jl. Bhayangkara 10, Solo) http://4sq.com/i3OdXY ','Banjarsari','Banjarsari, Surakarta','Indonesia','Festy_Adhitya'
'@WonkyNinja I just realised that could sound offensive. it wasnt meant to be. was just some weirdness from my head. ','Manchester','Manchester, Manchester','United Kingdom','fholme'
'@salsaaxyz emang gede banget ya? menurut gw itu biasa wkwk XD ntar deh cek bareng. oke ntar ya abis spelling bee kelar. ','Bogor Timur','Bogor Timur, Kota Bogor','Indonesia','fideliadp'
'Im so faken busy~ (@ Dunkin Donuts) http://4sq.com/fk3uUc ','Setia Budi','Setia Budi, Jakarta Selatan','Indonesia','finipertiwi'
'kok sepiiii yo... ','Semarang Tengah','Semarang Tengah, Kota Semarang','Indonesia','finks84'
'Im at rumah fira (taman pondok jati k-3, sidoarjo) http://4sq.com/kuMTRW ','Gayungan','Gayungan, Kota Surabaya','Indonesia','firasyaa'
'hujan ! (@ Perumahan Malaka Country Estate) http://4sq.com/j1gXtS ','Duren Sawit','Duren Sawit, Jakarta Timur','Indonesia','Firdausms'
